id,label
Fowls,Fowls
sun,sun
Fly,Fly
Vulture,Vulture
ram,ram
dupes,dupes
Lamb,Lamb
158_THE_ASS_AND_THE_DOG,158_THE_ASS_AND_THE_DOG
lads,lads
121_THE_CHARLATAN,121_THE_CHARLATAN
Oak,Oak
Alexander,Alexander
Goats,Goats
brutes,brutes
34_THE_PEACOCK_COMPLAINING_TO_JUNO,34_THE_PEACOCK_COMPLAINING_TO_JUNO
lambkin,lambkin
The Gods,The Gods
Dean,Dean
Master Owl,Master Owl
205_THE_GODS_AS_INSTRUCTORS_OF_JUPITERS_SON,205_THE_GODS_AS_INSTRUCTORS_OF_JUPITERS_SON
Geese,Geese
Pike,Pike
Miserable Man,Miserable Man
Pedant,Pedant
166_THE_MADMAN_WHO_SOLD_WISDOM,166_THE_MADMAN_WHO_SOLD_WISDOM
Fate,Fate
137_AN_ANIMAL_IN_THE_MOON,137_AN_ANIMAL_IN_THE_MOON
partridge,partridge
Boar,Boar
Fame,Fame
Heifer,Heifer
woodman,woodman
119_THE_BIRDCATCHER_THE_HAWK_AND_THE_SKYLARK,119_THE_BIRDCATCHER_THE_HAWK_AND_THE_SKYLARK
Asses,Asses
212_THE_WOLF_AND_THE_FOX,212_THE_WOLF_AND_THE_FOX
215_THE_MISER_AND_THE_APE,215_THE_MISER_AND_THE_APE
Monsieur,Monsieur
Ape,Ape
Game-cock,Game-cock
Reed,Reed
171_JUPITER_AND_THE_TRAVELLER,171_JUPITER_AND_THE_TRAVELLER
Cormorant,Cormorant
Bertrand,Bertrand
164_THE_TWO_PIGEONS,164_THE_TWO_PIGEONS
wolf,wolf
Jupiter,Jupiter
Eagle,Eagle
Brifaut,Brifaut
Mercury,Mercury
Curé,Curé
109_THE_FOX_THE_MONKEY_AND_THE_OTHER_ANIMALS,109_THE_FOX_THE_MONKEY_AND_THE_OTHER_ANIMALS
Prince,Prince
135_THE_COACH_AND_THE_FLY,135_THE_COACH_AND_THE_FLY
90_THE_HARES_EARS,90_THE_HARES_EARS
229_THE_APE,229_THE_APE
Jove,Jove
Raven,Raven
Tail,Tail
216_THE_OLD_CAT_AND_THE_YOUNG_MOUSE,216_THE_OLD_CAT_AND_THE_YOUNG_MOUSE
Amaranth,Amaranth
Hawk,Hawk
genii,genii
Friends,Friends
149_TIRCIS_AND_AMARANTH,149_TIRCIS_AND_AMARANTH
buffoon,buffoon
Mare,Mare
Merchants,Merchants
Lord,Lord
Mole,Mole
Oyster,Oyster
story-teller,story-teller
Raton,Raton
deputy,deputy
12_THE_WOLF_AND_THE_LAMB,12_THE_WOLF_AND_THE_LAMB
lamb,lamb
slave,slave
children,children
fish,fish
93_THE_DOCTORS,93_THE_DOCTORS
Bat,Bat
Tool,Tool
183_THE_CORMORANT_AND_THE_FISHES,183_THE_CORMORANT_AND_THE_FISHES
The King,The King
Widow,Widow
31_THE_ASTROLOGER_WHO_LET_HIMSELF_FALL_INTO_THE_WELL,31_THE_ASTROLOGER_WHO_LET_HIMSELF_FALL_INTO_THE_WELL
heifer,heifer
Hercules,Hercules
Hens,Hens
49_A_WILL_INTERPRETED_BY_ÆSOP,49_A_WILL_INTERPRETED_BY_ÆSOP
211_THE_LION_THE_APE_AND_THE_TWO_ASSES,211_THE_LION_THE_APE_AND_THE_TWO_ASSES
41_THE_FOX_AND__THE_GRAPES,41_THE_FOX_AND__THE_GRAPES
Goose,Goose
97_THE_SERPENT_AND_THE_FILE,97_THE_SERPENT_AND_THE_FILE
Rabbit,Rabbit
Romana,Romana
108_THE_COCKEREL_THE_CAT_AND_THE_LITTLE_RAT,108_THE_COCKEREL_THE_CAT_AND_THE_LITTLE_RAT
Pilgrim,Pilgrim
6_THE_HEIFER_THE_SHEGOAT_AND_THE_LAMB_IN,6_THE_HEIFER_THE_SHEGOAT_AND_THE_LAMB_IN
67_THE_WEASEL_IN_THE_GRANARY,67_THE_WEASEL_IN_THE_GRANARY
elephant,elephant
Turnspits,Turnspits
125_THE_RAT_WHO_RETIRED_FROM_THE_WORLD,125_THE_RAT_WHO_RETIRED_FROM_THE_WORLD
rough dogs,rough dogs
23_THE_COUNCIL_HELD_BY_THE_RATS,23_THE_COUNCIL_HELD_BY_THE_RATS
Oak-tree,Oak-tree
hare,hare
123_DISCORD,123_DISCORD
Fish,Fish
Man,Man
113_THE_HARE_AND_THE_TORTOISE,113_THE_HARE_AND_THE_TORTOISE
168_DEMOCRITUS_AND_THE_ABDERANIANS,168_DEMOCRITUS_AND_THE_ABDERANIANS
child,child
118_THE_DOG_AND_THE_SHADOW,118_THE_DOG_AND_THE_SHADOW
Belle,Belle
228_THE_ENGLISH_FOX,228_THE_ENGLISH_FOX
Soul,Soul
130_THE_VULTURES_AND_THE_PIGEONS,130_THE_VULTURES_AND_THE_PIGEONS
152_THE_TWO_FRIENDS,152_THE_TWO_FRIENDS
Banker,Banker
boars,boars
Old Man,Old Man
181_NOT_TOO_MUCH,181_NOT_TOO_MUCH
Candles,Candles
76_BATTLE_BETWEEN_THE_RATS_AND_WEASELS,76_BATTLE_BETWEEN_THE_RATS_AND_WEASELS
66_THE_DROWNED_WOMAN,66_THE_DROWNED_WOMAN
151_THE_RAT_AND_THE_OYSTER,151_THE_RAT_AND_THE_OYSTER
Gardener,Gardener
Paquette,Paquette
Watchmaker,Watchmaker
Father,Father
62_THE_SWAN_AND_THE_COOK,62_THE_SWAN_AND_THE_COOK
35_THE_BAT_AND_THE_TWO_WEASELS,35_THE_BAT_AND_THE_TWO_WEASELS
147_THE_MAN_AND_THE_FLEA,147_THE_MAN_AND_THE_FLEA
Goshawk,Goshawk
8_THE_SWALLOW_AND_THE_LITTLE_BIRDS,8_THE_SWALLOW_AND_THE_LITTLE_BIRDS
tradesman,tradesman
wise men,wise men
Fowl,Fowl
188_THE_KITE_AND_THE_NIGHTINGALE,188_THE_KITE_AND_THE_NIGHTINGALE
Forest,Forest
Spirit,Spirit
Cricket,Cricket
fool,fool
Martin,Martin
fishes,fishes
trout,trout
209_THE_DREAM_OF_AN_INHABITANT_OF_MOGUL,209_THE_DREAM_OF_AN_INHABITANT_OF_MOGUL
Bush,Bush
Horseman,Horseman
Daughter Crab,Daughter Crab
Ducks,Ducks
133_THE_MAN_WHO_RUNS_AFTER_FORTUNE_AND_THE_MAN_WHO_WAITS_FOR_HER,133_THE_MAN_WHO_RUNS_AFTER_FORTUNE_AND_THE_MAN_WHO_WAITS_FOR_HER
19_THE_PULLET_AND_THE_PEARL,19_THE_PULLET_AND_THE_PEARL
Cupid,Cupid
80_THE_ANIMALS_SENDING_A_TRIBUTE_TO_ALEXANDER,80_THE_ANIMALS_SENDING_A_TRIBUTE_TO_ALEXANDER
Wasp,Wasp
138_THE_FORTUNETELLER,138_THE_FORTUNETELLER
Annette,Annette
Master,Master
Deer,Deer
169_THE_OYSTER_AND_ITS_CLAIMANTS,169_THE_OYSTER_AND_ITS_CLAIMANTS
Weasel,Weasel
elephants,elephants
30_THE_DOVE_AND_THE_ANT,30_THE_DOVE_AND_THE_ANT
Cow,Cow
213_THE_SICK_STAG,213_THE_SICK_STAG
Alecton,Alecton
Doctor Much-the-Better,Doctor Much-the-Better
Fortune,Fortune
Vigilance,Vigilance
26_THE_FOX_AND_THE_STORK,26_THE_FOX_AND_THE_STORK
Rat,Rat
Laridon,Laridon
13_THE_ROBBERS_AND_THE_ASS,13_THE_ROBBERS_AND_THE_ASS
63_THE_WOLF_THE_GOAT_AND_THE_KID,63_THE_WOLF_THE_GOAT_AND_THE_KID
Bird of Jove,Bird of Jove
148_THE_WOMAN_AND_THE_SECRET,148_THE_WOMAN_AND_THE_SECRET
180_THE_WAX_CANDLE,180_THE_WAX_CANDLE
Comrade,Comrade
Camel,Camel
Rabbits,Rabbits
loves,loves
wife,wife
33_THE_TWO_BULLS_AND_THE_FROG,33_THE_TWO_BULLS_AND_THE_FROG
39_THE_FROGS_WHO_ASKED_FOR_A_KING,39_THE_FROGS_WHO_ASKED_FOR_A_KING
Flora,Flora
143_THE_DOG_WHICH_CARRIED_ROUND_HIS_NECK_HIS_MASTERS_DINNER,143_THE_DOG_WHICH_CARRIED_ROUND_HIS_NECK_HIS_MASTERS_DINNER
Gout,Gout
Castor,Castor
comrade,comrade
fox,fox
Empedocles,Empedocles
134_THE_TWO_FOWLS,134_THE_TWO_FOWLS
1_THE_GRASSHOPPER_AND_THE_ANT,1_THE_GRASSHOPPER_AND_THE_ANT
people,people
shepherdess,shepherdess
wolves,wolves
Philomel,Philomel
Hecuba,Hecuba
Master Lion,Master Lion
Turk,Turk
Phœbus,Phœbus
Mule,Mule
Lynx,Lynx
60_THE_WOLF_AND_THE_STORK,60_THE_WOLF_AND_THE_STORK
Eel,Eel
donkey,donkey
Apollo,Apollo
Mastiff,Mastiff
59_THE_EYE_OR_THE_MASTER,59_THE_EYE_OR_THE_MASTER
172_THE_APE_AND_THE_LEOPARD,172_THE_APE_AND_THE_LEOPARD
Miller,Miller
17_THE_WOLF_TURNED_SHEPHERD,17_THE_WOLF_TURNED_SHEPHERD
Leopard,Leopard
Cobbler,Cobbler
14_DEATH_AND_THE_WOODCUTTER,14_DEATH_AND_THE_WOODCUTTER
Doe,Doe
Vine,Vine
Phaeton,Phaeton
163_THE_FALCON_AND_THE_CAPON,163_THE_FALCON_AND_THE_CAPON
Hind,Hind
fathers,fathers
Pollux,Pollux
troop,troop
kings of animals,kings of animals
112_THE_COUNTRYMAN_AND_THE_SERPENT,112_THE_COUNTRYMAN_AND_THE_SERPENT
Frog,Frog
Mother Crab,Mother Crab
Mice,Mice
friend,friend
Æsop,Æsop
Magpie,Magpie
61_THE_LION_DEFEATED_BY_MAN,61_THE_LION_DEFEATED_BY_MAN
Friend,Friend
Circe,Circe
travellers,travellers
ox,ox
Merchant,Merchant
Sheep,Sheep
219_THE_QUARREL_OF_THE_DOGS_AND_THE_CATS_AND_ALSO_THAT_OF_THE_CATS,219_THE_QUARREL_OF_THE_DOGS_AND_THE_CATS_AND_ALSO_THAT_OF_THE_CATS
Folly,Folly
Turkeys,Turkeys
Capon,Capon
Iron Pot,Iron Pot
190_THE_MAN_AND_THE_SNAKE,190_THE_MAN_AND_THE_SNAKE
73_MAN_AND_THE_WOODEN_IDOL,73_MAN_AND_THE_WOODEN_IDOL
Snake,Snake
Drones,Drones
Owl,Owl
100_THE_ASS_IN_THE_LIONS_SKIN,100_THE_ASS_IN_THE_LIONS_SKIN
Tench,Tench
106_JUPITER_AND_THE_FARMER,106_JUPITER_AND_THE_FARMER
52_THE_SHEPHERD_AND_THE_SEA,52_THE_SHEPHERD_AND_THE_SEA
Iris,Iris
85_THE_OLD_MAN_AND_HIS_CHILDREN,85_THE_OLD_MAN_AND_HIS_CHILDREN
the patient,the patient
104_PHŒBUS_AND_BOREAS,104_PHŒBUS_AND_BOREAS
173_THE_ACORN_AND_THE_GOURD,173_THE_ACORN_AND_THE_GOURD
Woman,Woman
199_THE_DOG_WHOSE_EARS_WERE_CUT,199_THE_DOG_WHOSE_EARS_WERE_CUT
185_THE_SHEPHERD_AND_THE_KING,185_THE_SHEPHERD_AND_THE_KING
156_THE_HOROSCOPE,156_THE_HOROSCOPE
142_THE_HEAD_AND_THE_TAIL_OF_THE_SERPENT,142_THE_HEAD_AND_THE_TAIL_OF_THE_SERPENT
sage,sage
Madame Weasel,Madame Weasel
161_THE_WOLF_AND_THE_HUNTER,161_THE_WOLF_AND_THE_HUNTER
Tethys,Tethys
Meridarpax,Meridarpax
111_THE_OLD_MAN_AND_THE_ASS,111_THE_OLD_MAN_AND_THE_ASS
214_THE_CAT_AND_THE_TWO_SPARROWS,214_THE_CAT_AND_THE_TWO_SPARROWS
dogs,dogs
Turtle-doves,Turtle-doves
Hydra,Hydra
29_THE_LION_AND_THE_RAT,29_THE_LION_AND_THE_RAT
rich man,rich man
Barn-door Fowl,Barn-door Fowl
Rustaut,Rustaut
Poacher,Poacher
Youths,Youths
Queen,Queen
Tony,Tony
3_THE_FROG_THAT_WISHED_TO_MAKE_HERSELF_AS_BIG_AS_THE_OX,3_THE_FROG_THAT_WISHED_TO_MAKE_HERSELF_AS_BIG_AS_THE_OX
valets,valets
Crow,Crow
98_THE_HARE_THE_PARTRIDGE,98_THE_HARE_THE_PARTRIDGE
infant,infant
157_THE_TORRENT_AND_THE_RIVER,157_THE_TORRENT_AND_THE_RIVER
Bear,Bear
Hill,Hill
Wife,Wife
Hedgehog,Hedgehog
Traveller,Traveller
Dead man,Dead man
Woodcutter,Woodcutter
51_THE_FOX_AND_THE_GOAT,51_THE_FOX_AND_THE_GOAT
mouse,mouse
Pumpkin,Pumpkin
Cray-fish,Cray-fish
stags,stags
Birds,Birds
Alcippus,Alcippus
20_THE_DRONES_AND_THE_BEES,20_THE_DRONES_AND_THE_BEES
Belly,Belly
155_THE_FUNERAL_OF_THE_LIONESS,155_THE_FUNERAL_OF_THE_LIONESS
Pluto,Pluto
merchant,merchant
231_THE_LEAGUE_OF_THE_RATS,231_THE_LEAGUE_OF_THE_RATS
Vulcan,Vulcan
Oxen,Oxen
citizen,citizen
Ceres,Ceres
47_THE_LION_AND_THE_ASS,47_THE_LION_AND_THE_ASS
Acorn,Acorn
Whale,Whale
Log,Log
courtiers,courtiers
46_PHILOMEL_AND_PROGNE,46_PHILOMEL_AND_PROGNE
Wolf-cubs,Wolf-cubs
Creature,Creature
Child,Child
227_THE_CROW_THE_GAZELLE_THE_TORTOISE_AND_THE_RAT,227_THE_CROW_THE_GAZELLE_THE_TORTOISE_AND_THE_RAT
Robber,Robber
Fates,Fates
Partridge,Partridge
Gudgeon,Gudgeon
lambs,lambs
daughter,daughter
Hare,Hare
sheep,sheep
201_THE_PEASANT_OF_THE_DANUBE,201_THE_PEASANT_OF_THE_DANUBE
175_THE_CAT_AND_THE_FOX,175_THE_CAT_AND_THE_FOX
Charcoal-dealer,Charcoal-dealer
48_THE_CAT_AND_THE_OLD_RAT,48_THE_CAT_AND_THE_OLD_RAT
5_THE_WOLF_AND_THE_DOG,5_THE_WOLF_AND_THE_DOG
Beetle,Beetle
Maid,Maid
Bull,Bull
79_THE_OLD_WOMAN_AND_HER_SERVANTS,79_THE_OLD_WOMAN_AND_HER_SERVANTS
creditors,creditors
Hounds,Hounds
beast,beast
Wren,Wren
193_THE_MISER_AND_HIS_FRIEND,193_THE_MISER_AND_HIS_FRIEND
176_THE_SCULPTOR_AND_THE_STATUE_OF_JUPITER,176_THE_SCULPTOR_AND_THE_STATUE_OF_JUPITER
Wolf,Wolf
Carter,Carter
Doctor Much-the-Worse,Doctor Much-the-Worse
Son,Son
44_THE_WOLVES_AND_THE_SHEEP,44_THE_WOLVES_AND_THE_SHEEP
Serpent,Serpent
robbers,robbers
neighbour,neighbour
179_THE_WOLF_AND_THE_STARVED_DOG,179_THE_WOLF_AND_THE_STARVED_DOG
She-Bear,She-Bear
Hermit,Hermit
Earthen Pot,Earthen Pot
creature,creature
Heaven,Heaven
16_DEATH_AND_THE_UNHAPPY_MAN,16_DEATH_AND_THE_UNHAPPY_MAN
Ulysses,Ulysses
Husband,Husband
53_THE_DRUNKARD_AND_HIS_WIFE,53_THE_DRUNKARD_AND_HIS_WIFE
Mouse,Mouse
224_THE_FOX_THE_FLIES_AND_THE_HEDGEHOG,224_THE_FOX_THE_FLIES_AND_THE_HEDGEHOG
Thieves,Thieves
Scandal,Scandal
153_THE_PIG_THE_GOAT_AND_THE_SHEEP,153_THE_PIG_THE_GOAT_AND_THE_SHEEP
129_THE_WISHES,129_THE_WISHES
ambassadors,ambassadors
owl,owl
Pigeon,Pigeon
husband,husband
Breeze,Breeze
poor man,poor man
Goat,Goat
Wind,Wind
gossip,gossip
Ants,Ants
Peasant,Peasant
Orphan,Orphan
courtesan,courtesan
farmer,farmer
shepherds,shepherds
124_THE_ANIMALS_SICK_OF_THE_PLAGUE,124_THE_ANIMALS_SICK_OF_THE_PLAGUE
Cats,Cats
King,King
189_THE_FISH_AND_THE_SHEPHERD_WHO_PLAYED_ON_THE_CLARIONET,189_THE_FISH_AND_THE_SHEPHERD_WHO_PLAYED_ON_THE_CLARIONET
Tiger,Tiger
cow,cow
mastiffs,mastiffs
Servants,Servants
